Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Source,SourceNotes,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,Catalog
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_5_0.png,shop,navigation,na,na,Yes,Yes,No,1,-1,600,beige,brown,Crafting,,garden,None,None,None,No,vehicle,nfs
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_6_0.png,tailors,navigation,na,na,Yes,Yes,No,1,-1,600,beige,brown,Crafting,,garden,None,None,None,No,vehicle,nfs
angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_7_0.png,museum,navigation,na,na,Yes,Yes,No,1,-1,600,beige,brown,Crafting,,garden,None,None,None,No,vehicle,nfs
antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png,brown,na,na,na,No,No,No,-1,28000,7000,brown,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,bed,fs
antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_1_0.png,natural,na,na,na,No,No,No,-1,28000,7000,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,bed,fs
antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_2_0.png,black,na,na,na,No,No,No,-1,28000,7000,black,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,bed,fs
antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_0_0.png,brown,na,na,na,No,No,No,-1,20000,5000,brown,brown,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,desk,fs
antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_1_0.png,natural,na,na,na,No,No,No,-1,20000,5000,beige,beige,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,desk,fs
antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_2_0.png,black,na,na,na,No,No,No,-1,20000,5000,black,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,desk,fs
antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_0_0.png,brown,na,na,na,No,No,No,-1,10000,2500,brown,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,chair,fs
antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_1_0.png,natural,na,na,na,No,No,No,-1,10000,2500,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,chair,fs
antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_2_0.png,black,na,na,na,No,No,No,-1,10000,2500,black,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,chair,fs
antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_0_0.png,brown,na,na,na,No,No,No,-1,44000,11000,brown,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,clock,fs
antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_1_0.png,natural,na,na,na,No,No,No,-1,44000,11000,beige,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,clock,fs
antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_2_0.png,black,na,na,na,No,No,No,-1,44000,11000,black,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,clock,fs
antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_0_0.png,brown,na,na,na,No,No,No,-1,17000,4250,brown,brown,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_1_0.png,natural,na,na,na,No,No,No,-1,17000,4250,beige,beige,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_2_0.png,black,na,na,na,No,No,No,-1,17000,4250,black,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_0_0.png,brown,na,na,na,No,No,No,-1,6700,1675,brown,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_1_0.png,natural,na,na,na,No,No,No,-1,6700,1675,beige,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_2_0.png,black,na,na,na,No,No,No,-1,6700,1675,black,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_0_0.png,brown,na,na,na,No,No,No,-1,25000,6250,brown,brown,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_1_0.png,natural,na,na,na,No,No,No,-1,25000,6250,beige,beige,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_2_0.png,black,na,na,na,No,No,No,-1,25000,6250,black,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,table,fs
antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_0_0.png,brown,na,na,na,No,No,No,-1,31000,7750,brown,light blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,dresser,fs
antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_1_0.png,natural,na,na,na,No,No,No,-1,31000,7750,beige,light blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,dresser,fs
antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_2_0.png,black,na,na,na,No,No,No,-1,31000,7750,black,light blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,dresser,fs
antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_0_0.png,brown,na,na,na,No,No,No,-1,37000,9250,brown,brown,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,chest,fs
antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_1_0.png,natural,na,na,na,No,No,No,-1,37000,9250,beige,beige,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,chest,fs
antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_2_0.png,black,na,na,na,No,No,No,-1,37000,9250,black,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,chest,fs
apple chair,https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_0_0.png,red apple,fruit type,na,na,Yes,Yes,No,4,-1,2480,red,yellow,Crafting,,fancy,None,fruits,apple,Yes,chair,nfs
apple chair,https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_1_0.png,green apple,fruit type,na,na,Yes,Yes,No,4,-1,2480,green,yellow,Crafting,,fancy,None,fruits,apple,Yes,chair,nfs
Aquarius urn,https://acnhcdn.com/latest/FtrIcon/FtrZodiacAquarius.png,na,na,na,na,Yes,No,No,-1,-1,22125,white,yellow,Crafting,,expensive,bathroom,stars,None,No,bathroom things,nfs
arcade combat game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameShooting.png,na,na,na,na,No,No,No,-1,64000,16000,white,blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Yes,toy,fs
arcade fighting game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameFight.png,na,na,na,na,No,No,No,-1,64000,16000,white,red,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Yes,toy,fs
arcade mahjong game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameMahjong.png,na,na,na,na,No,No,No,-1,64000,16000,white,green,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Yes,toy,fs
arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_0_0.png,red,na,na,na,No,No,No,-1,1300,325,red,gray,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Yes,chair,fs
arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_1_0.png,gray,na,na,na,No,No,No,-1,1300,325,gray,gray,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Yes,chair,fs
arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_2_0.png,blue,na,na,na,No,No,No,-1,1300,325,blue,gray,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Yes,chair,fs
Aries rocking chair,https://acnhcdn.com/latest/FtrIcon/FtrZodiacAries.png,na,na,na,na,Yes,No,No,-1,-1,12125,white,yellow,Crafting,,expensive,fancy,stars,None,Yes,toy,nfs
artisanal bug cage,https://acnhcdn.com/latest/FtrIcon/FtrEventobjInsectBox.png,na,na,na,na,No,No,No,-1,-1,450,brown,brown,Bug-Off,,garden,facility,None,None,Yes,ranch,nfs
asteroid,https://acnhcdn.com/latest/FtrIcon/FtrMeteo.png,na,na,na,na,Yes,No,No,-1,-1,4000,black,black,Crafting,,space,facility,None,None,Yes,space,nfs
astronaut suit,https://acnhcdn.com/latest/FtrIcon/FtrSpacesuit.png,na,na,na,na,Yes,No,No,-1,-1,6250,white,black,Crafting,,space,None,None,None,No,space,nfs
automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_0_0.png,white,na,na,na,No,No,No,-1,4500,1125,white,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,home appliances,fs
automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_1_0.png,pink,na,na,na,No,No,No,-1,4500,1125,red,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,home appliances,fs
automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_2_0.png,blue,na,na,na,No,No,No,-1,4500,1125,blue,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,home appliances,fs
automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_3_0.png,green,na,na,na,No,No,No,-1,4500,1125,green,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,home appliances,fs
automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_4_0.png,yellow,na,na,na,No,No,No,-1,4500,1125,yellow,white,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,home appliances,fs
automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_5_0.png,black,na,na,na,No,No,No,-1,4500,1125,black,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,home appliances,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_0.png,red,na,bear,cushion,No,No,Yes,1,1200,300,red,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_1.png,red,na,strawberry,cushion,No,No,Yes,1,1200,300,red,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_2.png,red,na,butterfly,cushion,No,No,Yes,1,1200,300,red,orange,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_3.png,red,na,train,cushion,No,No,Yes,1,1200,300,red,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_4.png,red,na,paw print,cushion,No,No,Yes,1,1200,300,red,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_0.png,pink,na,bear,cushion,No,No,Yes,1,1200,300,pink,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_1.png,pink,na,strawberry,cushion,No,No,Yes,1,1200,300,pink,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_2.png,pink,na,butterfly,cushion,No,No,Yes,1,1200,300,pink,orange,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_3.png,pink,na,train,cushion,No,No,Yes,1,1200,300,pink,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_4.png,pink,na,paw print,cushion,No,No,Yes,1,1200,300,pink,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_0.png,yellow,na,bear,cushion,No,No,Yes,1,1200,300,yellow,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_1.png,yellow,na,strawberry,cushion,No,No,Yes,1,1200,300,yellow,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_2.png,yellow,na,butterfly,cushion,No,No,Yes,1,1200,300,yellow,orange,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_3.png,yellow,na,train,cushion,No,No,Yes,1,1200,300,yellow,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_4.png,yellow,na,paw print,cushion,No,No,Yes,1,1200,300,yellow,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_0.png,green,na,bear,cushion,No,No,Yes,1,1200,300,green,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_1.png,green,na,strawberry,cushion,No,No,Yes,1,1200,300,green,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_2.png,green,na,butterfly,cushion,No,No,Yes,1,1200,300,green,orange,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_3.png,green,na,train,cushion,No,No,Yes,1,1200,300,green,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_4.png,green,na,paw print,cushion,No,No,Yes,1,1200,300,green,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_0.png,blue,na,bear,cushion,No,No,Yes,1,1200,300,blue,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_1.png,blue,na,strawberry,cushion,No,No,Yes,1,1200,300,blue,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_2.png,blue,na,butterfly,cushion,No,No,Yes,1,1200,300,blue,orange,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_3.png,blue,na,train,cushion,No,No,Yes,1,1200,300,blue,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_4.png,blue,na,paw print,cushion,No,No,Yes,1,1200,300,blue,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_5_0.png,white,na,bear,cushion,No,No,Yes,1,1200,300,white,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_5_1.png,white,na,strawberry,cushion,No,No,Yes,1,1200,300,white,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_5_2.png,white,na,butterfly,cushion,No,No,Yes,1,1200,300,white,orange,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_5_3.png,white,na,train,cushion,No,No,Yes,1,1200,300,white,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_5_4.png,white,na,paw print,cushion,No,No,Yes,1,1200,300,white,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_6_0.png,black,na,bear,cushion,No,No,Yes,1,1200,300,black,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_6_1.png,black,na,strawberry,cushion,No,No,Yes,1,1200,300,black,colorful,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_6_2.png,black,na,butterfly,cushion,No,No,Yes,1,1200,300,black,orange,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,chair,fs
