Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,SpeakerType,LightingType,Catalog,Filename,VariantID,InternalID,UniqueEntryID
air circulator,https://acnhcdn.com/acdb/housewares/FtrCirculator_Remake_3_0.png,Green,NA,NA,NA,No,No,No,NA,1100,275,Green,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_3_0,3_0,3821,bGCQ9bA27ftHoLoKb
air circulator,https://acnhcdn.com/acdb/housewares/FtrCirculator_Remake_4_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100,275,Yellow,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_4_0,4_0,3821,5pBqNZaZWveKR6K5s
alto saxophone,https://acnhcdn.com/acdb/housewares/FtrAltosax.png,NA,NA,NA,NA,No,No,No,NA,3400,850,Yellow,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,For sale,FtrAltosax,NA,846,yAj7DyFRDjWbh7qYP
anatomical model,https://acnhcdn.com/acdb/housewares/FtrAnatomicalmodel.png,NA,NA,NA,NA,No,No,No,NA,3500,875,Colorful,Beige,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,None,None,No,Hospital,Does not play music,No lighting,For sale,FtrAnatomicalmodel,NA,1317,t2LzAKDofAZYyqZ6r
anchor statue,https://acnhcdn.com/acdb/housewares/FtrShipanchor_Remake_0_0.png,Black,Color,NA,NA,No,Yes,No,2,NFS,1400,Black,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_0_0,0_0,7238,zgw6WaZRQgrpQ5FTC
anchor statue,https://acnhcdn.com/acdb/housewares/FtrShipanchor_Remake_1_0.png,Silver,Color,NA,NA,No,Yes,No,2,NFS,1400,Gray,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_1_0,1_0,7238,hdZokWHmfoFTt2FjM
anchor statue,https://acnhcdn.com/acdb/housewares/FtrShipanchor_Remake_2_0.png,Gold,Color,NA,NA,No,Yes,No,2,NFS,1400,Brown,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_2_0,2_0,7238,NNfoBT2rgDcmG5HhD
anchor statue,https://acnhcdn.com/acdb/housewares/FtrShipanchor_Remake_3_0.png,White,Color,NA,NA,No,Yes,No,2,NFS,1400,White,Beige,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_3_0,3_0,7238,ZWyY2rRANgXoGcDha
anchor statue,https://acnhcdn.com/acdb/housewares/FtrShipanchor_Remake_4_0.png,Blue,Color,NA,NA,No,Yes,No,2,NFS,1400,Blue,White,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_4_0,4_0,7238,vRhn2x3vj2mii4AKH
anchor statue,https://acnhcdn.com/acdb/housewares/FtrShipanchor_Remake_5_0.png,Retro,Color,NA,NA,No,Yes,No,2,NFS,1400,Brown,Gray,1x1,Fishing Tourney,,1.0.0,ocean,None,None,None,No,Seaside,Does not play music,No lighting,Not for sale,FtrShipanchor_Remake_5_0,5_0,7238,6wyLNus8QqXkbBu72
angled signpost,https://acnhcdn.com/acdb/housewares/FtrSignpostTilt_Remake_0_0.png,Home,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_0_0,0_0,7867,kzirasu23o7Xwz8Cg
angled signpost,https://acnhcdn.com/acdb/housewares/FtrSignpostTilt_Remake_1_0.png,Forest,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_1_0,1_0,7867,8MxLKTxpMDwarBE2M
angled signpost,https://acnhcdn.com/acdb/housewares/FtrSignpostTilt_Remake_2_0.png,Fishing Spot,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_2_0,2_0,7867,uvn5kiMi84NMuesmb
angled signpost,https://acnhcdn.com/acdb/housewares/FtrSignpostTilt_Remake_3_0.png,Resident Services,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_3_0,3_0,7867,D2bHBoj8ZotiBiahp
angled signpost,https://acnhcdn.com/acdb/housewares/FtrSignpostTilt_Remake_4_0.png,Airport,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_4_0,4_0,7867,BGaTv6ghfWHQohYJz
angled signpost,https://acnhcdn.com/acdb/housewares/FtrSignpostTilt_Remake_5_0.png,Shop,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_5_0,5_0,7867,QNTrffSxKbCJH3C2s
angled signpost,https://acnhcdn.com/acdb/housewares/FtrSignpostTilt_Remake_6_0.png,Tailors,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_6_0,6_0,7867,TW9n423omNZDjZ9hp
angled signpost,https://acnhcdn.com/acdb/housewares/FtrSignpostTilt_Remake_7_0.png,Museum,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_7_0,7_0,7867,wPX6wELbCn9Jyb37A
antique bed,https://acnhcdn.com/acdb/housewares/FtrAntiqueBedW_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,28000,7000,Brown,White,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Bed,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_0_0,0_0,3957,c7rQKnQBvtMCpGNhr
antique bed,https://acnhcdn.com/acdb/housewares/FtrAntiqueBedW_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,28000,7000,Beige,White,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Bed,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_1_0,1_0,3957,gMCFieFjJLX4yXBPJ
antique bed,https://acnhcdn.com/acdb/housewares/FtrAntiqueBedW_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,28000,7000,Black,White,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Bed,Does not play music,No lighting,For sale,FtrAntiqueBedW_Remake_2_0,2_0,3957,s5ZQQKh3XYcue8R6S
antique bureau,https://acnhcdn.com/acdb/housewares/FtrAntiqueBureau_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,20000,5000,Brown,Brown,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Desk,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_0_0,0_0,3956,eqP7Ro4PzjhZFGMaX
antique bureau,https://acnhcdn.com/acdb/housewares/FtrAntiqueBureau_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,20000,5000,Beige,Beige,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Desk,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_1_0,1_0,3956,PwbzwqaKiZ7CPKgh6
antique bureau,https://acnhcdn.com/acdb/housewares/FtrAntiqueBureau_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,20000,5000,Black,Black,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Desk,Does not play music,No lighting,For sale,FtrAntiqueBureau_Remake_2_0,2_0,3956,nTM9BgbxMArEAuPda
antique chair,https://acnhcdn.com/acdb/housewares/FtrAntiqueChairS_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,10000,2500,Brown,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chair,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_0_0,0_0,3950,gzBvzGmkCqvaa4dfg
antique chair,https://acnhcdn.com/acdb/housewares/FtrAntiqueChairS_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,10000,2500,Beige,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chair,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_1_0,1_0,3950,d4oC34hgWHdZAv8dT
antique chair,https://acnhcdn.com/acdb/housewares/FtrAntiqueChairS_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,10000,2500,Black,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chair,Does not play music,No lighting,For sale,FtrAntiqueChairS_Remake_2_0,2_0,3950,eCZttstT4S3Tr4ZSj
antique clock,https://acnhcdn.com/acdb/housewares/FtrAntiqueClock_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,44000,11000,Brown,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Clock,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_0_0,0_0,3954,54WzSWz3bv4j4279w
antique clock,https://acnhcdn.com/acdb/housewares/FtrAntiqueClock_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,44000,11000,Beige,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Clock,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_1_0,1_0,3954,aPDaateHnZ2K7rnCX
antique clock,https://acnhcdn.com/acdb/housewares/FtrAntiqueClock_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,44000,11000,Black,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Clock,Does not play music,No lighting,For sale,FtrAntiqueClock_Remake_2_0,2_0,3954,prDor5kTcy7ahzz5c
antique console table,https://acnhcdn.com/acdb/housewares/FtrAntiqueConsole_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,17000,4250,Brown,Brown,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_0_0,0_0,3951,kKSfnnXLBk2BMbWEo
antique console table,https://acnhcdn.com/acdb/housewares/FtrAntiqueConsole_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,17000,4250,Beige,Beige,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_1_0,1_0,3951,SBphLepffHinkmtPf
antique console table,https://acnhcdn.com/acdb/housewares/FtrAntiqueConsole_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,17000,4250,Black,Black,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueConsole_Remake_2_0,2_0,3951,7i4eJMFhi2gzqMEZ8
antique mini table,https://acnhcdn.com/acdb/housewares/FtrAntiqueTableS_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,6700,1675,Brown,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_0_0,0_0,3958,WZyBrwSZD4wZtqcBJ
antique mini table,https://acnhcdn.com/acdb/housewares/FtrAntiqueTableS_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,6700,1675,Beige,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_1_0,1_0,3958,epWuBMh226r3nu7xh
antique mini table,https://acnhcdn.com/acdb/housewares/FtrAntiqueTableS_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,6700,1675,Black,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableS_Remake_2_0,2_0,3958,2n955ZXXD3RXt9gjE
antique table,https://acnhcdn.com/acdb/housewares/FtrAntiqueTableL_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,25000,6250,Brown,Brown,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_0_0,0_0,3952,F4jrEYe9x7W4E2wYE
antique table,https://acnhcdn.com/acdb/housewares/FtrAntiqueTableL_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,25000,6250,Beige,Beige,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_1_0,1_0,3952,ptPHtvKpF2JCkS9Zw
antique table,https://acnhcdn.com/acdb/housewares/FtrAntiqueTableL_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,25000,6250,Black,Black,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,No,Table,Does not play music,No lighting,For sale,FtrAntiqueTableL_Remake_2_0,2_0,3952,x2K5wv9K8qGXcmukB
antique vanity,https://acnhcdn.com/acdb/housewares/FtrAntiqueDresser_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,31000,7750,Brown,Light blue,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_0_0,0_0,3955,qLtWDehmX53gwgha7
antique vanity,https://acnhcdn.com/acdb/housewares/FtrAntiqueDresser_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,31000,7750,Beige,Light blue,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_1_0,1_0,3955,2bRbENZWkM9BeuiwZ
antique vanity,https://acnhcdn.com/acdb/housewares/FtrAntiqueDresser_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,31000,7750,Black,Light blue,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Dresser,Does not play music,No lighting,For sale,FtrAntiqueDresser_Remake_2_0,2_0,3955,b5MR8PraRhrJzsqYi
antique wardrobe,https://acnhcdn.com/acdb/housewares/FtrAntiqueChest_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,37000,9250,Brown,Brown,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chest,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_0_0,0_0,3959,XAnaYsJ8wouWyBBsu
antique wardrobe,https://acnhcdn.com/acdb/housewares/FtrAntiqueChest_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,37000,9250,Beige,Beige,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chest,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_1_0,1_0,3959,yBtLh6CtFrGD4qTTF
antique wardrobe,https://acnhcdn.com/acdb/housewares/FtrAntiqueChest_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,37000,9250,Black,Black,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,None,Yes,Chest,Does not play music,No lighting,For sale,FtrAntiqueChest_Remake_2_0,2_0,3959,Tjvexu4etCrRoAAw4
apple chair,https://acnhcdn.com/acdb/housewares/FtrFruitsChairApple_Remake_0_0.png,Red apple,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2480,Red,Yellow,1x1,Crafting,,1.0.0,fancy,None,fruits,apple,Yes,Chair,Does not play music,No lighting,Not for sale,FtrFruitsChairApple_Remake_0_0,0_0,4134,qonCdPiLCmFNtYMsG
apple chair,https://acnhcdn.com/acdb/housewares/FtrFruitsChairApple_Remake_1_0.png,Green apple,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2480,Green,Yellow,1x1,Crafting,,1.0.0,fancy,None,fruits,apple,Yes,Chair,Does not play music,No lighting,Not for sale,FtrFruitsChairApple_Remake_1_0,1_0,4134,rjPaqoEyZ2FHDjbkn
Aquarius urn,https://acnhcdn.com/acdb/housewares/FtrZodiacAquarius.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,22125,White,Yellow,1x1,Crafting,,1.0.0,expensive,bathroom,stars,None,No,Bathroom Things,Does not play music,No lighting,Not for sale,FtrZodiacAquarius,NA,5956,dYz86HHwPAWYn5c3Z
arcade combat game,https://acnhcdn.com/acdb/housewares/FtrArcadegameShooting.png,NA,NA,NA,NA,No,No,No,NA,64000,16000,White,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,None,None,Yes,Toy,Does not play music,Monitor,For sale,FtrArcadegameShooting,NA,8226,f7tatK2cmYwskb5LS
arcade fighting game,https://acnhcdn.com/acdb/housewares/FtrArcadegameFight.png,NA,NA,NA,NA,No,No,No,NA,64000,16000,White,Red,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,None,None,Yes,Toy,Does not play music,Monitor,For sale,FtrArcadegameFight,NA,8225,3CKqHScHJuqbW7e4u
arcade mahjong game,https://acnhcdn.com/acdb/housewares/FtrArcadegameMahjong.png,NA,NA,NA,NA,No,No,No,NA,64000,16000,White,Green,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,None,None,Yes,Toy,Does not play music,Monitor,For sale,FtrArcadegameMahjong,NA,8227,vNB5LbWmPm2uQhdjo
arcade seat,https://acnhcdn.com/acdb/housewares/FtrGameChair_Remake_0_0.png,Red,NA,NA,NA,No,No,No,NA,1300,325,Red,Gray,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrGameChair_Remake_0_0,0_0,12207,BHxt8Xrz3RxHAq45c
arcade seat,https://acnhcdn.com/acdb/housewares/FtrGameChair_Remake_1_0.png,Gray,NA,NA,NA,No,No,No,NA,1300,325,Gray,Gray,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrGameChair_Remake_1_0,1_0,12207,qvAcGrMSRKdMPWZAF
arcade seat,https://acnhcdn.com/acdb/housewares/FtrGameChair_Remake_2_0.png,Blue,NA,NA,NA,No,No,No,NA,1300,325,Blue,Gray,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,None,None,Yes,Chair,Does not play music,No lighting,For sale,FtrGameChair_Remake_2_0,2_0,12207,DZ3hFRhqZ5W62XQ4C
Aries rocking chair,https://acnhcdn.com/acdb/housewares/FtrZodiacAries.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,12125,White,Yellow,1x1,Crafting,,1.0.0,expensive,fancy,stars,None,Yes,Toy,Does not play music,No lighting,Not for sale,FtrZodiacAries,NA,5954,MLxrGfmKBYNQoqYYu
artisanal bug cage,https://acnhcdn.com/acdb/housewares/FtrEventobjInsectBox.png,NA,NA,NA,NA,No,No,No,NA,NFS,450,Brown,Brown,2x1,Bug-Off,,1.0.0,garden,facility,None,None,Yes,Ranch,Does not play music,No lighting,Not for sale,FtrEventobjInsectBox,NA,7839,GsEBBC4JpEgwjgv6e
asteroid,https://acnhcdn.com/acdb/housewares/FtrMeteo.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4000,Black,Black,1x1,Crafting,,1.0.0,space,facility,None,None,Yes,Space,Does not play music,No lighting,Not for sale,FtrMeteo,NA,1439,oAQNzhuKcCvh4E9a4
astronaut suit,https://acnhcdn.com/acdb/housewares/FtrSpacesuit.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,6250,White,Black,1x1,Crafting,,1.0.0,space,None,None,None,No,Space,Does not play music,No lighting,Not for sale,FtrSpacesuit,NA,1445,mBhzWedMXNB5HSrKa
automatic washer,https://acnhcdn.com/acdb/housewares/FtrWashingmachine_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,4500,1125,White,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_0_0,0_0,2740,4YqpCyGk4ndhAWjS8
automatic washer,https://acnhcdn.com/acdb/housewares/FtrWashingmachine_Remake_1_0.png,Pink,NA,NA,NA,No,No,No,NA,4500,1125,Red,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,None,None,None,Yes,Home Appliances,Does not play music,No lighting,For sale,FtrWashingmachine_Remake_1_0,1_0,2740,wdpzZgQz8aJvnkY33
