Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,HHAConcept1,HHAConcept2,HHA Series,HHASet,Interact,Tag,Catalog,Filename,VariantID,InternalID,UniqueEntryID
autograph cards,https://acnhcdn.com/acdb/wall-mounted/FtrAutograph_Remake_0_1.png,Signature,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,For sale,FtrAutograph_Remake_0_1,0_1,1899,agiS2suZcLp3cZp7x
autograph cards,https://acnhcdn.com/acdb/wall-mounted/FtrAutograph_Remake_1_0.png,Handprints,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,For sale,FtrAutograph_Remake_1_0,1_0,1899,XzBB69cXctRGbKen7
autograph cards,https://acnhcdn.com/acdb/wall-mounted/FtrAutograph_Remake_1_1.png,Handprints,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,For sale,FtrAutograph_Remake_1_1,1_1,1899,vwk5njowHf3GkRcFq
autograph cards,https://acnhcdn.com/acdb/wall-mounted/FtrAutograph_Remake_2_0.png,Illustration,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,For sale,FtrAutograph_Remake_2_0,2_0,1899,mvuDgsouHqTwejnpx
autograph cards,https://acnhcdn.com/acdb/wall-mounted/FtrAutograph_Remake_2_1.png,Illustration,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,For sale,FtrAutograph_Remake_2_1,2_1,1899,3brxKrQHt4tHAmJ5S
autograph cards,https://acnhcdn.com/acdb/wall-mounted/FtrAutograph_Remake_3_0.png,Words of wisdom,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,For sale,FtrAutograph_Remake_3_0,3_0,1899,7c4SDPyoLDewHz9Pg
autograph cards,https://acnhcdn.com/acdb/wall-mounted/FtrAutograph_Remake_3_1.png,Words of wisdom,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,For sale,FtrAutograph_Remake_3_1,3_1,1899,yRB4GuGA6L86EBg5K
bamboo wall decoration,https://acnhcdn.com/acdb/wall-mounted/FtrBambooFlowerwall_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Green,Red,0.5x1 ,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),1.0.0,zen-style,None,bamboo,None,No,Plants,Not for sale,FtrBambooFlowerwall_Remake_0_0,0_0,3558,pbECjLkaDPDQ5dNXp
bamboo wall decoration,https://acnhcdn.com/acdb/wall-mounted/FtrBambooFlowerwall_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Yellow,Red,0.5x1 ,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),1.0.0,zen-style,None,bamboo,None,No,Plants,Not for sale,FtrBambooFlowerwall_Remake_1_0,1_0,3558,QRLmHZaqguF5iy3hC
bamboo wall decoration,https://acnhcdn.com/acdb/wall-mounted/FtrBambooFlowerwall_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Brown,Green,0.5x1 ,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),1.0.0,zen-style,None,bamboo,None,No,Plants,Not for sale,FtrBambooFlowerwall_Remake_2_0,2_0,3558,mNdcYvRwAHytnXPkp
bathroom towel rack,https://acnhcdn.com/acdb/wall-mounted/FtrTowelrackWall_Remake_0_0.png,Silver,NA,NA,NA,No,No,No,NA,1400,350,Gray,White,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,For sale,FtrTowelrackWall_Remake_0_0,0_0,4030,3mD27HBCBkjy4beMd
bathroom towel rack,https://acnhcdn.com/acdb/wall-mounted/FtrTowelrackWall_Remake_1_0.png,Gold,NA,NA,NA,No,No,No,NA,1400,350,Yellow,Brown,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,For sale,FtrTowelrackWall_Remake_1_0,1_0,4030,diaLMBMgpNoGW7dmg
bathroom towel rack,https://acnhcdn.com/acdb/wall-mounted/FtrTowelrackWall_Remake_2_0.png,Copper,NA,NA,NA,No,No,No,NA,1400,350,Brown,Pink,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,For sale,FtrTowelrackWall_Remake_2_0,2_0,4030,WKsy8zDRasXY5xQTt
bathroom towel rack,https://acnhcdn.com/acdb/wall-mounted/FtrTowelrackWall_Remake_3_0.png,Black,NA,NA,NA,No,No,No,NA,1400,350,Black,Gray,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,For sale,FtrTowelrackWall_Remake_3_0,3_0,4030,o9DTtEZtFwAwXyZw2
blue rose wreath,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentWreathRoseUrtraRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,20000,Blue,Blue,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,Not for sale,FtrDoorOrnamentWreathRoseUrtraRare,NA,5772,WAhbxkq89fSuMSSNa
bone doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorPlateBone_Remake_0_0.png,Brown,Color,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Beige,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,Not for sale,FtrDoorPlateBone_Remake_0_0,0_0,4751,GWsheTRiG46HjezX3
bone doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorPlateBone_Remake_1_0.png,White,Color,NA,NA,Yes,Yes,No,1,NFS,360,White,Red,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,Not for sale,FtrDoorPlateBone_Remake_1_0,1_0,4751,DKpXvEcErego2mzTR
bone doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorPlateBone_Remake_2_0.png,Black,Color,NA,NA,Yes,Yes,No,1,NFS,360,Black,Beige,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,Not for sale,FtrDoorPlateBone_Remake_2_0,2_0,4751,NzaREJBzeZgh5Dj8Z
bone doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorPlateBone_Remake_3_0.png,Pink,Color,NA,NA,Yes,Yes,No,1,NFS,360,Pink,Red,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,Not for sale,FtrDoorPlateBone_Remake_3_0,3_0,4751,ZWgvwP6XWE92ueBg7
bone doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorPlateBone_Remake_4_0.png,Red,Color,NA,NA,Yes,Yes,No,1,NFS,360,Red,Beige,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,Not for sale,FtrDoorPlateBone_Remake_4_0,4_0,4751,srNuKC9nZL6Tq8dCL
bone doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorPlateBone_Remake_5_0.png,Yellow,Color,NA,NA,Yes,Yes,No,1,NFS,360,Yellow,Brown,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,Not for sale,FtrDoorPlateBone_Remake_5_0,5_0,4751,zL68LPrwNxepQii85
bone doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorPlateBone_Remake_6_0.png,Blue,Color,NA,NA,Yes,Yes,No,1,NFS,360,Blue,White,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,Not for sale,FtrDoorPlateBone_Remake_6_0,6_0,4751,TRnRBfdFBygGPv3To
bone doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorPlateBone_Remake_7_0.png,Natural wood,Color,NA,NA,Yes,Yes,No,1,NFS,360,Beige,Brown,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,Not for sale,FtrDoorPlateBone_Remake_7_0,7_0,4751,dpi3G97osXcuEgpQv
boomerang,https://acnhcdn.com/acdb/wall-mounted/FtrBoomerang_Remake_0_0.png,Natural,Design,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Beige,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,Not for sale,FtrBoomerang_Remake_0_0,0_0,682,ckBkMWTsoQs9DqJyY
boomerang,https://acnhcdn.com/acdb/wall-mounted/FtrBoomerang_Remake_1_0.png,Green & orange,Design,NA,NA,Yes,Yes,No,1,NFS,360,Green,Orange,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,Not for sale,FtrBoomerang_Remake_1_0,1_0,682,vzCmcxEKbdd3QwJZC
boomerang,https://acnhcdn.com/acdb/wall-mounted/FtrBoomerang_Remake_2_0.png,Dark brown,Design,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Black,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,Not for sale,FtrBoomerang_Remake_2_0,2_0,682,CDsTmvKkhfAfvRM29
boomerang,https://acnhcdn.com/acdb/wall-mounted/FtrBoomerang_Remake_3_0.png,Red & black,Design,NA,NA,Yes,Yes,No,1,NFS,360,Red,Black,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,Not for sale,FtrBoomerang_Remake_3_0,3_0,682,gxzuuSAcAGoXWT7gy
boomerang,https://acnhcdn.com/acdb/wall-mounted/FtrBoomerang_Remake_4_0.png,White & blue,Design,NA,NA,Yes,Yes,No,1,NFS,360,White,Light blue,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,Not for sale,FtrBoomerang_Remake_4_0,4_0,682,FyvCZvwaADP3n5jMt
breaker,https://acnhcdn.com/acdb/wall-mounted/FtrBreaker.png,NA,NA,NA,NA,No,No,No,NA,820,205,White,Black,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,garage,facility,None,None,No,Home Appliances,For sale,FtrBreaker,NA,875,qkoNJc3xgRsWMkDiy
bronze HHA plaque,https://acnhcdn.com/acdb/wall-mounted/FtrShieldHhaBronze.png,NA,NA,NA,NA,No,No,No,NA,NFS,400,Brown,Red,1x1 ,HHA,,1.0.0,living room,expensive,None,None,No,Museum,Not for sale,FtrShieldHhaBronze,NA,7037,PN2tS6ktAtJor7dYQ
broom and dustpan,https://acnhcdn.com/acdb/wall-mounted/FtrCleaningset_Remake_0_0.png,Natural,NA,NA,NA,No,No,No,NA,910,227,Brown,Gray,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,None,No,Supplies,For sale,FtrCleaningset_Remake_0_0,0_0,3967,ng3LSLuHpPTEwNfED
broom and dustpan,https://acnhcdn.com/acdb/wall-mounted/FtrCleaningset_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,910,227,White,Gray,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,None,No,Supplies,For sale,FtrCleaningset_Remake_1_0,1_0,3967,3XZn5qtRhWhh5J8TH
broom and dustpan,https://acnhcdn.com/acdb/wall-mounted/FtrCleaningset_Remake_2_0.png,Dark brown,NA,NA,NA,No,No,No,NA,910,227,Brown,Black,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,None,No,Supplies,For sale,FtrCleaningset_Remake_2_0,2_0,3967,AP7AP7JTcGdCpkYwA
broom and dustpan,https://acnhcdn.com/acdb/wall-mounted/FtrCleaningset_Remake_3_0.png,Colorful,NA,NA,NA,No,No,No,NA,910,227,Pink,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,None,No,Supplies,For sale,FtrCleaningset_Remake_3_0,3_0,3967,zbGz5Z3N9daD8vogA
Bunny Day glowy garland,https://acnhcdn.com/acdb/wall-mounted/FtrEggLampWall.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400,Colorful,Colorful,2x1,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0,fancy,party,Bunny Day,None,Yes,Lamp,Not for sale,FtrEggLampWall,NA,12417,5BcF8Sk7rTzrG3pzr
Bunny Day wall clock,https://acnhcdn.com/acdb/wall-mounted/FtrEggClock.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200,Light blue,Colorful,1x1.5,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0,fancy,None,Bunny Day,None,Yes,Clock,Not for sale,FtrEggClock,NA,12418,Tb7KSuoRanow4ekqm
Bunny Day wreath,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentWreathEaster.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400,None,None,1x1,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0,fancy,party,Bunny Day,None,No,House Door Decor,Not for sale,FtrDoorOrnamentWreathEaster,NA,12517,4HcJP4W3RFWRSbspS
butterfly-fish model,https://acnhcdn.com/acdb/wall-mounted/FtrFishChouchouuoWall.png,NA,NA,NA,NA,No,No,No,NA,1300,325,Yellow,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,ocean,facility,None,None,No,Special Fish,For sale,FtrFishChouchouuoWall,NA,11182,QgzRi2QqTEcpKac5q
cherry lamp,https://acnhcdn.com/acdb/wall-mounted/FtrFruitsLampW_Remake_0_0.png,Cherry,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2400,Red,Green,1x1 ,Crafting,,1.0.0,fancy,None,fruits,cherry,Yes,Lamp,Not for sale,FtrFruitsLampW_Remake_0_0,0_0,4012,LvZKcdaWM6pSLdxni
cherry lamp,https://acnhcdn.com/acdb/wall-mounted/FtrFruitsLampW_Remake_1_0.png,Black cherry,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2400,Red,Green,1x1 ,Crafting,,1.0.0,fancy,None,fruits,cherry,Yes,Lamp,Not for sale,FtrFruitsLampW_Remake_1_0,1_0,4012,NWu6WpRu8MpRXPwii
cherry-blossom clock,https://acnhcdn.com/acdb/wall-mounted/FtrSakuraClockW_Remake_0_0.png,Pink,Color,NA,NA,Yes,Yes,No,4,NFS,2750,Pink,Pink,1x1 ,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),1.0.0,fancy,None,cherry blossoms,None,Yes,Clock,Not for sale,FtrSakuraClockW_Remake_0_0,0_0,6832,tb9y9v6vrf98WExq7
cherry-blossom clock,https://acnhcdn.com/acdb/wall-mounted/FtrSakuraClockW_Remake_1_0.png,Pink-white,Color,NA,NA,Yes,Yes,No,4,NFS,2750,Pink,White,1x1 ,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),1.0.0,fancy,None,cherry blossoms,None,Yes,Clock,Not for sale,FtrSakuraClockW_Remake_1_0,1_0,6832,iw6Qpmkn6qEaenEtP
chic cosmos wreath,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentWreathCosmosRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Black,Black,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,Not for sale,FtrDoorOrnamentWreathCosmosRare,NA,5764,DgLEZbDS2BsJ59K78
chic windflower wreath,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentWreathAnemoneRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Purple,Purple,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,Not for sale,FtrDoorOrnamentWreathAnemoneRare,NA,5765,tBJvNsSQvk8ajonsT
coconut wall planter,https://acnhcdn.com/acdb/wall-mounted/FtrPlanterPalm.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,600,Green,Beige,1x1.5 ,Crafting,,1.0.0,ocean,living room,None,None,No,Plants,Not for sale,FtrPlanterPalm,NA,4130,wsXGBE5N9NwenYTRj
cool hyacinth wreath,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentWreathHyacinthMix.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1440,Blue,Orange,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,Not for sale,FtrDoorOrnamentWreathHyacinthMix,NA,5750,MLMnpWFmufqDeg479
cool pansy wreath,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentWreathPansyRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Purple,Purple,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,Not for sale,FtrDoorOrnamentWreathPansyRare,NA,5767,wS4t24ixhhAnsRXFB
cool windflower wreath,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentWreathAnemoneMix.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200,Blue,Blue,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,Not for sale,FtrDoorOrnamentWreathAnemoneMix,NA,5746,uZT5wfceZaKMP2nZZ
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_0_0.png,Natural,NA,Apple,Favorite card,No,No,Yes,1,1400,350,Beige,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_0_0,0_0,1783,5QL4Epdhwtt3e6CKB
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_0_1.png,Natural,NA,Fish,Favorite card,No,No,Yes,1,1400,350,Beige,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_0_1,0_1,1783,QBTmJYYjs9Bjx9fvz
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_0_2.png,Natural,NA,Flower,Favorite card,No,No,Yes,1,1400,350,Beige,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_0_2,0_2,1783,eFDwvWFJb58YycAWt
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_1_0.png,White,NA,Apple,Favorite card,No,No,Yes,1,1400,350,White,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_1_0,1_0,1783,X5PSeoz28t2QeLAGP
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_1_1.png,White,NA,Fish,Favorite card,No,No,Yes,1,1400,350,White,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_1_1,1_1,1783,hgrWYxMGDRWqqfi8b
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_1_2.png,White,NA,Flower,Favorite card,No,No,Yes,1,1400,350,White,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_1_2,1_2,1783,agfCPzRF4syht7Csc
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_2_0.png,Blue,NA,Apple,Favorite card,No,No,Yes,1,1400,350,Blue,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_2_0,2_0,1783,sKaJPMQLFip2xCpPu
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_2_1.png,Blue,NA,Fish,Favorite card,No,No,Yes,1,1400,350,Blue,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_2_1,2_1,1783,iFndpQ9FzRBbK2X2Q
corkboard,https://acnhcdn.com/acdb/wall-mounted/FtrCorkboard_Remake_2_2.png,Blue,NA,Flower,Favorite card,No,No,Yes,1,1400,350,Blue,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,For sale,FtrCorkboard_Remake_2_2,2_2,1783,4FxH2Zhn3mdW3vAvv
cosmos wreath,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentWreathCosmos.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,720,Red,Yellow,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,Not for sale,FtrDoorOrnamentWreathCosmos,NA,4293,Jb4w7uvb9QhGerC3Z
crest doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentCrest_Remake_0_0.png,Silver,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Gray,Black,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,Not for sale,FtrDoorOrnamentCrest_Remake_0_0,0_0,5717,iE8G3C8jdhexkkY8c
crest doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentCrest_Remake_1_0.png,Gold & silver,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Yellow,Gray,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,Not for sale,FtrDoorOrnamentCrest_Remake_1_0,1_0,5717,aGewHTksfKfJW2MY8
crest doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentCrest_Remake_2_0.png,Silver & blue,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Gray,Blue,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,Not for sale,FtrDoorOrnamentCrest_Remake_2_0,2_0,5717,7G5TyTF9wcH7n5wbH
crest doorplate,https://acnhcdn.com/acdb/wall-mounted/FtrDoorOrnamentCrest_Remake_3_0.png,Red & white,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Red,White,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,Not for sale,FtrDoorOrnamentCrest_Remake_3_0,3_0,5717,Hf2jaoLX7JMRduSvR
