Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,Catalog,Filename,VariantID,InternalID,UniqueEntry ID
aroma pot,https://acnhcdn.com/acdb/miscellaneous/FtrAlomapot_Remake_3_0.png,Pink,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Pink,Pink,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Not for sale,FtrAlomapot_Remake_3_0,3_0,1753,tLn4NcyuPmuHXgKn8
aroma pot,https://acnhcdn.com/acdb/miscellaneous/FtrAlomapot_Remake_4_0.png,Cream,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Green,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Not for sale,FtrAlomapot_Remake_4_0,4_0,1753,5RFavNA2iBfAcQCK4
aroma pot,https://acnhcdn.com/acdb/miscellaneous/FtrAlomapot_Remake_5_0.png,Black,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Black,Blue,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Not for sale,FtrAlomapot_Remake_5_0,5_0,1753,YZgdtQSYDiw8TTXzJ
arowana model,https://acnhcdn.com/acdb/miscellaneous/FtrFishArowanaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,30000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Not for sale,FtrFishArowanaToy,NA,6935,SeSQEP9r8f4ZH3ZgP
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_0_0.png,Cream,NA,None,Shirt,No,No,Yes,1,1800,450,Beige,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_0_0,0_0,1501,g2XmJfB8pFYwRq9F6
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_0_1.png,Cream,NA,Heart,Shirt,No,No,Yes,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_0_1,0_1,1501,SSKzzn4PKuGQwr2pL
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_0_2.png,Cream,NA,Fish,Shirt,No,No,Yes,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_0_2,0_2,1501,36HzWPnuJQGP8dQ3J
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_0_3.png,Cream,NA,Star,Shirt,No,No,Yes,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_0_3,0_3,1501,ejuF7sTa4N64k8AD9
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_1_0.png,Caramel mocha,NA,None,Shirt,No,No,Yes,1,1800,450,Beige,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_1_0,1_0,1501,pkRq4pGLsBgZJs6Zz
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_1_1.png,Caramel mocha,NA,Heart,Shirt,No,No,Yes,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_1_1,1_1,1501,vXLCKkgzYCK7KQjgp
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_1_2.png,Caramel mocha,NA,Fish,Shirt,No,No,Yes,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_1_2,1_2,1501,GvyMQSw6Y7dAssqLE
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_1_3.png,Caramel mocha,NA,Star,Shirt,No,No,Yes,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_1_3,1_3,1501,B85z59MD8h7M9Ctrk
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_2_0.png,Choco,NA,None,Shirt,No,No,Yes,1,1800,450,Brown,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_2_0,2_0,1501,2T9YQNT5fZytrqrwK
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_2_1.png,Choco,NA,Heart,Shirt,No,No,Yes,1,1800,450,Brown,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_2_1,2_1,1501,CD9XqwhPSre2zzNjX
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_2_2.png,Choco,NA,Fish,Shirt,No,No,Yes,1,1800,450,Brown,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_2_2,2_2,1501,ZKQ8SQtNRXhQ63ANr
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_2_3.png,Choco,NA,Star,Shirt,No,No,Yes,1,1800,450,Brown,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_2_3,2_3,1501,muwwSKJHXGAeCmPEb
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_3_0.png,Floral,NA,None,Shirt,No,No,Yes,1,1800,450,Blue,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_3_0,3_0,1501,iC6uke9rdu6nFFZ9G
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_3_1.png,Floral,NA,Heart,Shirt,No,No,Yes,1,1800,450,Blue,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_3_1,3_1,1501,JgZfkc4k6nyjwjv9Q
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_3_2.png,Floral,NA,Fish,Shirt,No,No,Yes,1,1800,450,Blue,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_3_2,3_2,1501,hycjnzbvHSdCXcCSJ
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_3_3.png,Floral,NA,Star,Shirt,No,No,Yes,1,1800,450,Blue,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_3_3,3_3,1501,mjwTqXDWN6TXNtLoR
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_4_0.png,Checkered,NA,None,Shirt,No,No,Yes,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_4_0,4_0,1501,QJqqQh5tQR59LFLXP
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_4_1.png,Checkered,NA,Heart,Shirt,No,No,Yes,1,1800,450,Yellow,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_4_1,4_1,1501,qBvYFruEFNxRRm4qF
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_4_2.png,Checkered,NA,Fish,Shirt,No,No,Yes,1,1800,450,Yellow,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_4_2,4_2,1501,pfbzHggDW8rLZyySF
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_4_3.png,Checkered,NA,Star,Shirt,No,No,Yes,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_4_3,4_3,1501,5uqwwqA6dMAhQFpmm
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_5_0.png,Tweed,NA,None,Shirt,No,No,Yes,1,1800,450,Colorful,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_5_0,5_0,1501,nPchvcMPNmZ7eDKJJ
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_5_1.png,Tweed,NA,Heart,Shirt,No,No,Yes,1,1800,450,Colorful,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_5_1,5_1,1501,mgSKedtr9Lk4NTaWL
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_5_2.png,Tweed,NA,Fish,Shirt,No,No,Yes,1,1800,450,Colorful,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_5_2,5_2,1501,goji34uBiXDRhjkSv
Baby bear,https://acnhcdn.com/acdb/miscellaneous/FtrBearS_Remake_5_3.png,Tweed,NA,Star,Shirt,No,No,Yes,1,1800,450,Colorful,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,For sale,FtrBearS_Remake_5_3,5_3,1501,qjt78GA8vEf5xDW5W
Baby panda,https://acnhcdn.com/acdb/miscellaneous/FtrPandaS.png,NA,NA,NA,NA,No,No,No,NA,1800,450,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,panda,No,Animal,For sale,FtrPandaS,NA,9698,TrjKcMrQXJf7NCbta
bagworm model,https://acnhcdn.com/acdb/miscellaneous/FtrInsectMinomushiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,1800,Brown,Brown,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Not for sale,FtrInsectMinomushiToy,NA,7082,xPShFD4zcZx389xxz
ball,https://acnhcdn.com/acdb/miscellaneous/FtrBall_Remake_0_0.png,Basketball,NA,NA,NA,No,No,No,NA,520,130,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,For sale,FtrBall_Remake_0_0,0_0,2010,kWNLESb9BwdejFzCw
ball,https://acnhcdn.com/acdb/miscellaneous/FtrBall_Remake_1_0.png,Soccer ball,NA,NA,NA,No,No,No,NA,520,130,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,For sale,FtrBall_Remake_1_0,1_0,2010,Tps4AsF9ZaDrhn2CN
ball,https://acnhcdn.com/acdb/miscellaneous/FtrBall_Remake_2_0.png,Volleyball,NA,NA,NA,No,No,No,NA,520,130,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,For sale,FtrBall_Remake_2_0,2_0,2010,6Jr79mcuZsGGPJjK8
ball,https://acnhcdn.com/acdb/miscellaneous/FtrBall_Remake_3_0.png,Dodgeball,NA,NA,NA,No,No,No,NA,520,130,Yellow,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,For sale,FtrBall_Remake_3_0,3_0,2010,7FFD7gshDsb7mmB2X
bamboo candleholder,https://acnhcdn.com/acdb/miscellaneous/FtrBambooCandle_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Green,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,Not for sale,FtrBambooCandle_Remake_0_0,0_0,3554,WzyJkmGQKPRk7xyv9
bamboo candleholder,https://acnhcdn.com/acdb/miscellaneous/FtrBambooCandle_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Yellow,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,Not for sale,FtrBambooCandle_Remake_1_0,1_0,3554,yNHBsocxFskBwynvR
bamboo candleholder,https://acnhcdn.com/acdb/miscellaneous/FtrBambooCandle_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Brown,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,Not for sale,FtrBambooCandle_Remake_2_0,2_0,3554,7xMibNQTXMWZvPWGR
bamboo drum,https://acnhcdn.com/acdb/miscellaneous/FtrBamboodrum_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,Green,Pink,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Musical Instrument,Not for sale,FtrBamboodrum_Remake_0_0,0_0,4093,gg3aBipuGNFEeuyQb
