Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,Style,Label Themes,Catalog,Filename,InternalID,UniqueEntryID
Mom's hand-knit sweater,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLMother3.png,Animal,No,0,88,Yellow,Green,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopOuterLMother3,12142,KcMw3wsigM4PzLxjz
Mom's hand-knit sweater,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLMother4.png,Teddy bear,No,0,88,Blue,Brown,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopOuterLMother4,12143,ggDxEA6MJJAAinivi
Mom's hand-knit sweater,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLMother5.png,Accent patch,No,0,88,Blue,Beige,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopOuterLMother5,12144,JbqXEAgHtjjx4yEkB
Mom's hand-knit sweater,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLMother6.png,Quilted pattern,No,0,88,Red,Colorful,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopOuterLMother6,12145,Zo9WWYKJa963XRChK
Mom's hand-knit sweater,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLMother7.png,Chicks,No,0,88,Pink,Yellow,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopOuterLMother7,12146,QnFCb8p48gWnpY95s
Mom's handmade apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLMother0.png,M,No,0,88,Orange,Yellow,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopCoatLMother0,8763,WphkPyTj7QAnhfwtn
Mom's handmade apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLMother1.png,Flowers,No,0,88,Gray,White,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopCoatLMother1,9615,to9jhPL7hE376pxWv
Mom's handmade apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLMother2.png,Animals,No,0,88,Green,White,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopCoatLMother2,12147,oWySjD3y9dKAuvsER
Mom's handmade apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLMother3.png,Quilted pattern,No,0,88,Colorful,White,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopCoatLMother3,12156,THWuCtRhw7dhWwM8F
Mom's handmade apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLMother4.png,Fruits,No,0,88,Pink,White,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopCoatLMother4,12157,fuFcnY4FcDFTdf2B7
Mom's handmade apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLMother5.png,Denim,No,0,88,Blue,Gray,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopCoatLMother5,12158,6jSvvki6gimkmrb6t
Mom's handmade apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLMother6.png,Forest print,No,0,88,Green,White,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopCoatLMother6,12159,9nmRQaZDmgdi2c5k6
Mom's handmade apron,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLMother7.png,Family,No,0,88,Blue,White,1x1,Mom,,1.0.0,Cute,comfy,Not for sale,TopsTexTopCoatLMother7,12160,FqwWDp4pw5hWTM8HC
Nook Inc. aloha shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHRco.png,NA,No,0,3000,White,Green,1x1,Nook Miles Shop,,1.0.0,Simple,comfy; vacation,Not for sale,TopsTexTopTshirtsHRco,5626,JWa2JANhbML2ZoSpd
Nook Inc. blouson,https://acnhcdn.com/acdb/tops/TopsTexTopOuterLRco.png,NA,No,0,4000,Green,Green,1x1,Nook Miles Shop,,1.0.0,Simple,outdoorsy; work,Not for sale,TopsTexTopOuterLRco,5625,3yAwEXCgtLKgxqY3q
Nook Inc. tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNook0.png,NA,No,0,3000,Yellow,Green,1x1,Nook Miles Shop,,1.0.0,Simple,everyday; comfy,Not for sale,TopsTexTopTshirtsHNook0,9760,NYAF9MhpB9KLAMjzz
traditional straw coat,https://acnhcdn.com/acdb/tops/TopsTexTopCoatLStrawBeige.png,NA,Yes,0,160,Beige,Beige,1x1,Crafting,,1.0.0,Simple,fairy tale; outdoorsy,Not for sale,TopsTexTopCoatLStrawBeige,5291,zXMsYoKm2DyJPZgoY
tank,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNTanktop0.png,Black,No,350,87,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy; sporty; vacation,For sale,TopsTexTopTshirtsNTanktop0,3192,usnhrMGXKgBrjCSRx
tank,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNTanktop1.png,White,No,350,87,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy; sporty; vacation,For sale,TopsTexTopTshirtsNTanktop1,8373,BYLgAEnGWsf7yFYH2
tank,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNTanktop2.png,Brown,No,350,87,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy; sporty; vacation,For sale,TopsTexTopTshirtsNTanktop2,8374,R5zDnWRs2AhhfBdoJ
tank,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNTanktop3.png,Red,No,350,87,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy; sporty; vacation,For sale,TopsTexTopTshirtsNTanktop3,8375,E6L6EfiJZiJNgcNQH
tank,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNTanktop4.png,Navy blue,No,350,87,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; outdoorsy; comfy; sporty; vacation,For sale,TopsTexTopTshirtsNTanktop4,8376,ST7z58LiuJx4gzaNg
A tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHAce0.png,NA,No,560,140,Blue,White,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR
big-star tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHStar0.png,NA,No,560,140,Blue,Yellow,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHStar0,6822,JpATLjagWyw8q8zqx
dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsLStandard0.png,White,No,560,140,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsLStandard0,2823,dDtpewbT3ZAXinyPA
dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsLStandard1.png,Gray,No,560,140,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsLStandard1,8337,kEa65RHQj8m2e45iW
dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsLStandard2.png,Mint,No,560,140,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsLStandard2,8338,mQqbQPJKfgqGHwDxj
dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsLStandard3.png,Pink,No,560,140,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsLStandard3,8339,RBXCCu5J2bqSBt3AT
dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsLStandard4.png,Blue,No,560,140,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsLStandard4,8340,L88LYrMAXuKeyAA5Y
eight-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball8.png,NA,No,560,140,Black,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball8,3325,aGNGuPAvfzWYZyFXB
five-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball5.png,NA,No,560,140,Orange,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball5,3322,WsYW9gfDhPcPPerbk
four-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball4.png,Purple,No,560,140,Purple,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball4,3321,NGv4n2Su8Qx95Eemh
hola tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHHellosp0.png,NA,No,560,140,Yellow,Orange,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHHellosp0,12121,xKidnofK4iqgaKyLt
nine-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball9.png,NA,No,560,140,Orange,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball9,3326,8ZBqZhbRyH4HRdbo6
No. 1 shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHOne0.png,NA,No,560,140,Red,Light blue,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHOne0,6888,JGTwnNNjjSRijFpuF
No. 2 shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHTwo0.png,NA,No,560,140,Blue,Red,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHTwo0,12036,iu9qYhJbRbjQ2Nbuy
No. 3 shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHThree0.png,NA,No,560,140,Green,Orange,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHThree0,12037,uZN5bEEowytkwd7pB
No. 4 shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHFour0.png,NA,No,560,140,Pink,Red,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHFour0,12038,hNhqpPbu4NrdAxCF7
one-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball1.png,NA,No,560,140,Yellow,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball1,3320,NRKaj7yZRNahgeZwH
pocket tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHPocketshirts0.png,White,No,560,140,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHPocketshirts0,4291,QQAFQmvjB44SjpZGx
pocket tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHPocketshirts1.png,Black,No,560,140,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHPocketshirts1,8349,kmr5pk9wTTFnKPGY8
pocket tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHPocketshirts2.png,Purple,No,560,140,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHPocketshirts2,8350,XTmK9havPv5LufhpS
pocket tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHPocketshirts3.png,Light blue,No,560,140,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHPocketshirts3,8351,Zp5A4P9rvJhCtsSXa
pocket tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHPocketshirts4.png,Red,No,560,140,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHPocketshirts4,8352,PKg8qTc4dXxG5H7wJ
pocket tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHPocketshirts5.png,Yellow,No,560,140,Orange,Orange,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHPocketshirts5,8353,6CPhsvFedH2p8e7RB
pocket tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHPocketshirts6.png,Pink,No,560,140,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHPocketshirts6,8354,95aip4J493rBgMdFm
pocket tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHPocketshirts7.png,Green,No,560,140,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHPocketshirts7,8355,vMhZ2SgqzQqALQCqG
printed layered shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLayeredlogoa0.png,Black,No,560,140,Black,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsLLayeredlogoa0,9821,GmPhjRTQxkr6PuYtu
printed layered shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLayeredlogoa1.png,Yellow,No,560,140,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsLLayeredlogoa1,12161,g8qKk5oeR2qQ5vfGv
printed layered shirt,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLayeredlogoa2.png,White,No,560,140,White,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsLLayeredlogoa2,12162,2ZgWCAeGARCTMTSSd
printed-sleeve sweater,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLogoa0.png,Orange,No,560,140,Orange,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsLLogoa0,9823,MYG3GrwMzwvegR84p
printed-sleeve sweater,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLogoa1.png,White,No,560,140,White,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsLLogoa1,12163,rz9x8fuZBuCx4T7Do
printed-sleeve sweater,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsLLogoa2.png,Black,No,560,140,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsLLogoa2,12164,CAwtngNsd6aRsrTwp
seven-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball7.png,NA,No,560,140,Brown,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball7,3324,wWneARo7aBRWdS45q
short-sleeve dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsHStandard0.png,White,No,560,140,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsHStandard0,3144,N6A9RxWwPH4SmTKtq
short-sleeve dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsHStandard1.png,Red,No,560,140,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsHStandard1,8341,ZvKGCZRRFrYe2XLL8
short-sleeve dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsHStandard2.png,Green,No,560,140,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsHStandard2,8342,Mf8JSq3WPPyDE4Exd
short-sleeve dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsHStandard3.png,Yellow,No,560,140,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsHStandard3,8343,JTzSJ4SFoSQhzoeD5
short-sleeve dress shirt,https://acnhcdn.com/acdb/tops/TopsTexTopYshirtsHStandard4.png,Blue,No,560,140,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; formal; work,For sale,TopsTexTopYshirtsHStandard4,8344,DRra69aYwtZ4N3LDE
six-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball6.png,NA,No,560,140,Green,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball6,3323,9i3mJdoTbjxzEB9kD
three-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball3.png,NA,No,560,140,Red,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball3,2498,i5drcDjwqEoZFsPEf
two-ball tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHNumberball2.png,NA,No,560,140,Blue,White,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHNumberball2,2541,ETSGu2LkZwwGqvcwq
workout top,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNTraining0.png,Lime,No,560,140,Black,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; sporty; work,For sale,TopsTexTopTshirtsNTraining0,4421,br5CGLhaN5tWr97CA
workout top,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNTraining1.png,Pink,No,560,140,Black,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; sporty; work,For sale,TopsTexTopTshirtsNTraining1,8059,3QntWEZ2qsFDjKvZg
workout top,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNTraining2.png,Orange,No,560,140,Black,Orange,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,outdoorsy; sporty; work,For sale,TopsTexTopTshirtsNTraining2,8060,YeWhGMj8xNfcuZhgW
annyeong tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHHellokr0.png,NA,No,640,160,Light blue,White,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHHellokr0,12117,mfMor9YWpsoEbPK5e
bone tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHMeat0.png,NA,No,640,160,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHMeat0,8200,MtsJHoZtAniizhXzb
bonjour tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHHellofr0.png,NA,No,640,160,White,Red,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHHellofr0,12115,2eprjJTFoSP9v8fem
ciao tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHHelloit0.png,NA,No,640,160,Red,White,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHHelloit0,12120,QPxsFRrvvtHwR2STb
danger tank,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsNDanger0.png,NA,No,640,160,Yellow,Black,1x1,Nook Shopping Catalog,,1.0.0,Active,goth; comfy; vacation,For sale,TopsTexTopTshirtsNDanger0,8192,5wkzgmR4e7eegZkfc
frog tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHFrog0.png,NA,No,640,160,Beige,Green,1x1,Nook Shopping Catalog,,1.0.0,Active,everyday; comfy,For sale,TopsTexTopTshirtsHFrog0,8195,DKMWSDKZoSzmWod7u
front-tie tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHKnot0.png,Black,No,640,160,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,everyday; comfy; vacation,For sale,TopsTexTopTshirtsHKnot0,4320,e27Jt3PXF6AB8nm8Y
front-tie tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHKnot1.png,White,No,640,160,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,everyday; comfy; vacation,For sale,TopsTexTopTshirtsHKnot1,8356,cMFKMTf9PHB6Pf7S2
front-tie tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHKnot2.png,Red,No,640,160,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,everyday; comfy; vacation,For sale,TopsTexTopTshirtsHKnot2,8357,FRugEM48NkxaqnJSp
front-tie tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHKnot3.png,Lime,No,640,160,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,everyday; comfy; vacation,For sale,TopsTexTopTshirtsHKnot3,8358,YoAtJLbKcZzTXdmoj
gym tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHGym0.png,Red,No,640,160,White,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,comfy; sporty,For sale,TopsTexTopTshirtsHGym0,3179,MfkTNwjXFef4arM8C
gym tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHGym1.png,Blue,No,640,160,White,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,comfy; sporty,For sale,TopsTexTopTshirtsHGym1,10915,CYtbtErKeTmsAfS27
gym tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHGym2.png,Green,No,640,160,White,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,comfy; sporty,For sale,TopsTexTopTshirtsHGym2,10916,2BWKT4ZaK79KNkZMk
gym tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHGym3.png,Black,No,640,160,White,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,comfy; sporty,For sale,TopsTexTopTshirtsHGym3,10917,jvvLH4DTnbsD9khwW
hallo tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHHelloge0.png,NA,No,640,160,Black,Orange,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHHelloge0,12119,JXCuYWhg4e9R55Bcw
hello tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHHelloen0.png,NA,No,640,160,Black,White,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHHelloen0,12116,PvdrCjp68ATfFAWTx
hi tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHHellotw0.png,NA,No,640,160,Beige,Brown,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHHellotw0,12123,2PMR5NWeR6hSMJzwt
hoi tee,https://acnhcdn.com/acdb/tops/TopsTexTopTshirtsHHelloNr0.png,NA,No,640,160,Blue,Yellow,1x1,Nook Shopping Catalog,,1.0.0,Simple,everyday; comfy,For sale,TopsTexTopTshirtsHHelloNr0,12124,cgrWacdGx79sdhXnJ
