Name,Image,Variation,DIY,Buy,Sell,Color1,Color2,Size,Source,SourceNotes,Version,Style,LabelThemes,Catalog,Filename,InternalID,UniqueEntryID
town backpack,https://acnhcdn.com/acdb/bags/BagBackpackTown0.png,Green,No,1040,260,Green,Green,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy,For sale,BagBackpackTown0,6838,sm5eKnwyeNyKGXQLC
town backpack,https://acnhcdn.com/acdb/bags/BagBackpackTown1.png,Orange,No,1040,260,Orange,Orange,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy,For sale,BagBackpackTown1,6839,aZasytqebQRikaZZZ
town backpack,https://acnhcdn.com/acdb/bags/BagBackpackTown2.png,Blue,No,1040,260,Blue,Blue,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy,For sale,BagBackpackTown2,11944,WGhvofsBw6pFs5c93
town backpack,https://acnhcdn.com/acdb/bags/BagBackpackTown3.png,Red,No,1040,260,Red,Red,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy,For sale,BagBackpackTown3,11945,wkeZwbrp9BoHTEPRZ
travel pouch,https://acnhcdn.com/acdb/bags/BagShoulderTravel0.png,Pink,No,840,210,Pink,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy,For sale,BagShoulderTravel0,2550,ygrWBZtknqDLLH8Rn
travel pouch,https://acnhcdn.com/acdb/bags/BagShoulderTravel1.png,Green,No,840,210,Green,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy,For sale,BagShoulderTravel1,12000,oX3GfBwtMfcQ4STtd
travel pouch,https://acnhcdn.com/acdb/bags/BagShoulderTravel2.png,Light blue,No,840,210,Light blue,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy,For sale,BagShoulderTravel2,12001,SSHDSgfSasCP6AgmW
travel pouch,https://acnhcdn.com/acdb/bags/BagShoulderTravel3.png,Purple,No,840,210,Purple,Black,1x1,Kicks,,1.0.0,Active,everyday; outdoorsy,For sale,BagShoulderTravel3,12002,HTjXg6MXwPZCwEtmJ
traveler's backpack,https://acnhcdn.com/acdb/bags/BagBackpackJourney0.png,Orange,No,2940,735,Orange,Beige,1x1,Kicks,,1.0.0,Simple,fairy tale; outdoorsy; work,For sale,BagBackpackJourney0,7499,ag2m7kcBg83aCARGE
traveler's backpack,https://acnhcdn.com/acdb/bags/BagBackpackJourney1.png,Blue,No,2940,735,Blue,Beige,1x1,Kicks,,1.0.0,Simple,fairy tale; outdoorsy; work,For sale,BagBackpackJourney1,11965,iprTWWTSARJtHTKqF
traveler's backpack,https://acnhcdn.com/acdb/bags/BagBackpackJourney2.png,Brown,No,2940,735,Brown,Beige,1x1,Kicks,,1.0.0,Simple,fairy tale; outdoorsy; work,For sale,BagBackpackJourney2,11966,ehhBAiZqTHaTExHYP
