Name,Image,Variation,BodyTitle,Pattern,PatternTitle,DIY,BodyCustomize,PatternCustomize,KitCost,Buy,Sell,Color1,Color2,Source,SourceNotes,HHAConcept1,HHAConcept2,HHASeries,HHASet,Interact,Tag,Catalog
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_0_0.png,silver,na,na,na,No,No,No,-1,1400,350,gray,white,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,bathroom things,fs
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_1_0.png,gold,na,na,na,No,No,No,-1,1400,350,yellow,brown,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,bathroom things,fs
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_2_0.png,copper,na,na,na,No,No,No,-1,1400,350,brown,pink,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,bathroom things,fs
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_3_0.png,black,na,na,na,No,No,No,-1,1400,350,black,gray,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,bathroom things,fs
blue rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseUrtraRare.png,na,na,na,na,Yes,No,No,-1,-1,20000,blue,blue,Crafting,,fancy,None,flowers,None,No,house door decor,nfs
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_0_0.png,brown,color,na,na,Yes,Yes,No,1,-1,360,brown,beige,Crafting,,child's room,living room,None,None,No,house door decor,nfs
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_1_0.png,white,color,na,na,Yes,Yes,No,1,-1,360,white,red,Crafting,,child's room,living room,None,None,No,house door decor,nfs
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_2_0.png,black,color,na,na,Yes,Yes,No,1,-1,360,black,beige,Crafting,,child's room,living room,None,None,No,house door decor,nfs
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_3_0.png,pink,color,na,na,Yes,Yes,No,1,-1,360,pink,red,Crafting,,child's room,living room,None,None,No,house door decor,nfs
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_4_0.png,red,color,na,na,Yes,Yes,No,1,-1,360,red,beige,Crafting,,child's room,living room,None,None,No,house door decor,nfs
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_5_0.png,yellow,color,na,na,Yes,Yes,No,1,-1,360,yellow,brown,Crafting,,child's room,living room,None,None,No,house door decor,nfs
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_6_0.png,blue,color,na,na,Yes,Yes,No,1,-1,360,blue,white,Crafting,,child's room,living room,None,None,No,house door decor,nfs
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_7_0.png,natural wood,color,na,na,Yes,Yes,No,1,-1,360,beige,brown,Crafting,,child's room,living room,None,None,No,house door decor,nfs
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_0_0.png,natural,design,na,na,Yes,Yes,No,1,-1,360,brown,beige,Crafting,,child's room,None,None,None,No,toy,nfs
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_1_0.png,green & orange,design,na,na,Yes,Yes,No,1,-1,360,green,orange,Crafting,,child's room,None,None,None,No,toy,nfs
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_2_0.png,dark brown,design,na,na,Yes,Yes,No,1,-1,360,brown,black,Crafting,,child's room,None,None,None,No,toy,nfs
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_3_0.png,red & black,design,na,na,Yes,Yes,No,1,-1,360,red,black,Crafting,,child's room,None,None,None,No,toy,nfs
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_4_0.png,white & blue,design,na,na,Yes,Yes,No,1,-1,360,white,light blue,Crafting,,child's room,None,None,None,No,toy,nfs
breaker,https://acnhcdn.com/latest/FtrIcon/FtrBreaker.png,na,na,na,na,No,No,No,-1,820,205,white,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",garage,facility,None,None,No,home appliances,fs
bronze hha plaque,https://acnhcdn.com/latest/FtrIcon/FtrShieldHhaBronze.png,na,na,na,na,No,No,No,-1,-1,400,brown,red,HHA,,living room,expensive,None,None,No,museum,nfs
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_0_0.png,natural,na,na,na,No,No,No,-1,910,227,brown,gray,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,No,supplies,fs
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_1_0.png,white,na,na,na,No,No,No,-1,910,227,white,gray,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,No,supplies,fs
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_2_0.png,dark brown,na,na,na,No,No,No,-1,910,227,brown,black,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,No,supplies,fs
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_3_0.png,colorful,na,na,na,No,No,No,-1,910,227,pink,brown,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,No,supplies,fs
bug plaque,https://acnhcdn.com/latest/FtrIcon/FtrMuseumInsectWall.png,,,,,No,,,-2,1200,300,yellow,brown,,,expensive,den,None,None,No,museum,nfs
bunny day glowy garland,https://acnhcdn.com/latest/FtrIcon/FtrEggLampWall.png,na,na,na,na,Yes,No,No,-1,-1,2400,colorful,colorful,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",fancy,party,Bunny Day,None,Yes,lamp,nfs
bunny day wall clock,https://acnhcdn.com/latest/FtrIcon/FtrEggClock.png,na,na,na,na,Yes,No,No,-1,-1,1200,light blue,colorful,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",fancy,None,Bunny Day,None,Yes,clock,nfs
bunny day wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathEaster.png,na,na,na,na,Yes,No,No,-1,-1,2400,none,none,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",fancy,party,Bunny Day,None,No,house door decor,nfs
butterfly-fish model,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchouuoWall.png,na,na,na,na,No,No,No,-1,1300,325,yellow,yellow,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",ocean,facility,None,None,No,special fish,fs
cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_0_0.png,cherry,fruit type,na,na,Yes,Yes,No,4,-1,2400,red,green,Crafting,,fancy,None,fruits,cherry,Yes,lamp,nfs
cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_1_0.png,black cherry,fruit type,na,na,Yes,Yes,No,4,-1,2400,red,green,Crafting,,fancy,None,fruits,cherry,Yes,lamp,nfs
cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_0_0.png,pink,color,na,na,Yes,Yes,No,4,-1,2750,pink,pink,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),fancy,None,cherry blossoms,None,Yes,clock,nfs
cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_1_0.png,pink-white,color,na,na,Yes,Yes,No,4,-1,2750,pink,white,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),fancy,None,cherry blossoms,None,Yes,clock,nfs
chic cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmosRare.png,na,na,na,na,Yes,No,No,-1,-1,4800,black,black,Crafting,,fancy,None,flowers,None,No,house door decor,nfs
chic windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneRare.png,na,na,na,na,Yes,No,No,-1,-1,4800,purple,purple,Crafting,,fancy,None,flowers,None,No,house door decor,nfs
coconut wall planter,https://acnhcdn.com/latest/FtrIcon/FtrPlanterPalm.png,na,na,na,na,Yes,No,No,-1,-1,600,green,beige,Crafting,,ocean,living room,None,None,No,plants,nfs
cool hyacinth wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathHyacinthMix.png,na,na,na,na,Yes,No,No,-1,-1,1440,blue,orange,Crafting,,fancy,None,flowers,None,No,house door decor,nfs
cool pansy wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathPansyRare.png,na,na,na,na,Yes,No,No,-1,-1,4800,purple,purple,Crafting,,fancy,None,flowers,None,No,house door decor,nfs
cool windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneMix.png,na,na,na,na,Yes,No,No,-1,-1,1200,blue,blue,Crafting,,fancy,None,flowers,None,No,house door decor,nfs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_0.png,natural,na,apple,favorite card,No,No,Yes,1,1400,350,beige,red,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_1.png,natural,na,fish,favorite card,No,No,Yes,1,1400,350,beige,blue,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_2.png,natural,na,flower,favorite card,No,No,Yes,1,1400,350,beige,green,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_0.png,white,na,apple,favorite card,No,No,Yes,1,1400,350,white,red,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_1.png,white,na,fish,favorite card,No,No,Yes,1,1400,350,white,blue,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_2.png,white,na,flower,favorite card,No,No,Yes,1,1400,350,white,green,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_0.png,blue,na,apple,favorite card,No,No,Yes,1,1400,350,blue,red,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_1.png,blue,na,fish,favorite card,No,No,Yes,1,1400,350,blue,blue,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_2.png,blue,na,flower,favorite card,No,No,Yes,1,1400,350,blue,green,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,study,fs
cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmos.png,na,na,na,na,Yes,No,No,-1,-1,720,red,yellow,Crafting,,fancy,None,flowers,None,No,house door decor,nfs
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_0_0.png,silver,color,na,na,Yes,Yes,No,1,-1,3000,gray,black,Crafting,,expensive,None,None,None,No,house door decor,nfs
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_1_0.png,gold & silver,color,na,na,Yes,Yes,No,1,-1,3000,yellow,gray,Crafting,,expensive,None,None,None,No,house door decor,nfs
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_2_0.png,silver & blue,color,na,na,Yes,Yes,No,1,-1,3000,gray,blue,Crafting,,expensive,None,None,None,No,house door decor,nfs
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_3_0.png,red & white,color,na,na,Yes,Yes,No,1,-1,3000,red,white,Crafting,,expensive,None,None,None,No,house door decor,nfs
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_4_0.png,silver & green,color,na,na,Yes,Yes,No,1,-1,3000,gray,green,Crafting,,expensive,None,None,None,No,house door decor,nfs
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_5_0.png,colorful,color,na,na,Yes,Yes,No,1,-1,3000,,,Crafting,,expensive,None,None,None,No,house door decor,nfs
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_0_0.png,natural,na,na,na,No,No,No,-1,3200,800,beige,beige,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,clock,fs
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_1_0.png,green,na,na,na,No,No,No,-1,3200,800,green,brown,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,clock,fs
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_2_0.png,blue,na,na,na,No,No,No,-1,3200,800,blue,brown,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,clock,fs
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_3_0.png,yellow,na,na,na,No,No,No,-1,3200,800,yellow,beige,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,clock,fs
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_4_0.png,red,na,na,na,No,No,No,-1,3200,800,red,brown,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,clock,fs
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_5_0.png,white,na,na,na,No,No,No,-1,3200,800,white,white,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,clock,fs
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_6_0.png,black,na,na,na,No,No,No,-1,3200,800,black,black,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,clock,fs
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_0_0.png,white,na,na,na,No,No,No,-1,1200,300,white,pink,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,clock,fs
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_1_0.png,sky blue,na,na,na,No,No,No,-1,1200,300,light blue,blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,clock,fs
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_2_0.png,yellow,na,na,na,No,No,No,-1,1200,300,yellow,orange,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,clock,fs
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_3_0.png,red,na,na,na,No,No,No,-1,1200,300,red,red,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,clock,fs
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_4_0.png,blue,na,na,na,No,No,No,-1,1200,300,blue,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,clock,fs
dark lily wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathYuriRare.png,na,na,na,na,Yes,No,No,-1,-1,1600,black,black,Crafting,,fancy,horror,flowers,None,No,house door decor,nfs
dark rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseRare.png,na,na,na,na,Yes,No,No,-1,-1,4320,black,purple,Crafting,,fancy,horror,flowers,None,No,house door decor,nfs
dark tulip wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathTulipRare.png,na,na,na,na,Yes,No,No,-1,-1,1600,black,black,Crafting,,fancy,horror,flowers,None,No,house door decor,nfs
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_0_0.png,natural,paint color,na,na,Yes,Yes,No,2,-1,960,orange,orange,Crafting,,living room,None,None,None,No,animal,nfs
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_1_0.png,ash,paint color,na,na,Yes,Yes,No,2,-1,960,beige,beige,Crafting,,living room,None,None,None,No,animal,nfs
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_2_0.png,ivory,paint color,na,na,Yes,Yes,No,2,-1,960,yellow,yellow,Crafting,,living room,None,None,None,No,animal,nfs
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_3_0.png,white,paint color,na,na,Yes,Yes,No,2,-1,960,white,white,Crafting,,living room,None,None,None,No,animal,nfs
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_4_0.png,black,paint color,na,na,Yes,Yes,No,2,-1,960,black,black,Crafting,,living room,None,None,None,No,animal,nfs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_0_0.png,red,na,red lines,clock face,No,No,Yes,1,1500,375,red,colorful,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_0_1.png,red,na,blue bee,clock face,No,No,Yes,1,1500,375,red,blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_0_2.png,red,na,b & w numeral,clock face,No,No,Yes,1,1500,375,red,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_1_0.png,blue,na,red lines,clock face,No,No,Yes,1,1500,375,blue,colorful,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_1_1.png,blue,na,blue bee,clock face,No,No,Yes,1,1500,375,blue,blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_1_2.png,blue,na,b & w numeral,clock face,No,No,Yes,1,1500,375,blue,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_2_0.png,yellow,na,red lines,clock face,No,No,Yes,1,1500,375,yellow,colorful,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_2_1.png,yellow,na,blue bee,clock face,No,No,Yes,1,1500,375,yellow,blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_2_2.png,yellow,na,b & w numeral,clock face,No,No,Yes,1,1500,375,yellow,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_3_0.png,aquamarine,na,red lines,clock face,No,No,Yes,1,1500,375,green,colorful,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_3_1.png,aquamarine,na,blue bee,clock face,No,No,Yes,1,1500,375,green,blue,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_3_2.png,aquamarine,na,b & w numeral,clock face,No,No,Yes,1,1500,375,green,black,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_4_0.png,pink,na,red lines,clock face,No,No,Yes,1,1500,375,pink,colorful,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,clock,fs
