Name,Image,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,HHAConcept1,HHAConcept2,Tag,Catalog
blue persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL01.png,No,2000,500,blue,beige,Saharah,Large rug,expensive,living room,pattern rugs,fs
blue shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL02.png,No,2000,500,blue,blue,Saharah,Large rug,living room,None,pattern rugs,fs
blue small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS02.png,No,1000,250,blue,blue,Saharah,Small rug,living room,child's room,shaggy round rugs,fs
blue stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL02.png,No,2000,500,blue,white,Saharah,Large rug,fancy,child's room,slender pattern rugs,fs
blue vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM01.png,No,1500,375,blue,colorful,Saharah,Medium rug,garden,None,slender pattern rugs,fs
blue wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL02.png,No,2000,500,blue,light blue,Saharah,Large rug,living room,child's room,slender pattern rugs,fs
blue wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM00.png,No,1500,375,none,none,,Medium rug,party,expensive,slender pattern rugs,nfs
blue-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS01.png,No,1000,250,blue,black,Saharah,Small rug,kitchen,None,kitchen rugs,fs
botanical rug,https://acnhcdn.com/latest/FtrIcon/RugRectBotanicalL00.png,No,2000,500,green,green,Saharah,Large rug,living room,None,slender pattern rugs,fs
brown argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL03.png,No,2000,500,brown,yellow,Saharah,Large rug,living room,expensive,slender pattern rugs,fs
brown kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS00.png,No,1000,250,brown,brown,Saharah,Small rug,kitchen,None,kitchen rugs,fs
brown shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL01.png,No,2000,500,brown,brown,Saharah,Large rug,living room,None,pattern rugs,fs
brown wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM00.png,No,1500,375,brown,brown,Saharah,Medium rug,outdoors,None,wood rugs,fs
bunny day rug,https://acnhcdn.com/latest/FtrIcon/RugOtherEasterM00.png,Yes,-1,2400,none,none,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",fancy,child's room,icon rugs,nfs
cherry rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCherryM00.png,Yes,-1,1200,red,red,Crafting,,fancy,child's room,fruit rugs,nfs
colorful vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM00.png,No,1500,375,colorful,colorful,Saharah,Medium rug,garden,None,slender pattern rugs,fs
dark bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM01.png,Yes,-1,960,brown,brown,Crafting,,zen-style,None,wood rugs,nfs
earth rug,https://acnhcdn.com/latest/FtrIcon/RugRoundEarthM00.png,No,1500,375,blue,white,Saharah,Medium rug,space,child's room,icon rugs,fs
fish rug,https://acnhcdn.com/latest/FtrIcon/RugOtherFishM00.png,No,-1,375,light blue,light blue,Fishing Tourney,,ocean,child's room,icon rugs,nfs
fluffy rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCloudM00.png,No,1500,375,white,white,Saharah,Medium rug,fancy,child's room,icon rugs,fs
fossil rug,https://acnhcdn.com/latest/FtrIcon/RugOtherFossilM00.png,No,1500,375,purple,white,Saharah,Medium rug,fancy,child's room,park rugs,fs
green checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL03.png,No,2000,500,green,purple,Saharah,Large rug,living room,child's room,pattern rugs,fs
green kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL02.png,No,2000,500,green,green,Saharah,Large rug,living room,None,pattern rugs,fs
green kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS03.png,No,1000,250,green,green,Saharah,Small rug,kitchen,None,kitchen rugs,fs
green shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL00.png,No,2000,500,green,green,Saharah,Large rug,living room,None,pattern rugs,fs
green stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL03.png,No,2000,500,green,white,Saharah,Large rug,fancy,child's room,slender pattern rugs,fs
iron entrance mat,https://acnhcdn.com/latest/FtrIcon/RugRectIronmatS00.png,No,1000,250,black,black,Saharah,Small rug,shop,expensive,slender rugs,fs
ivory medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM00.png,No,1500,375,beige,white,Saharah,Medium rug,living room,child's room,shaggy round rugs,fs
ivory simple bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS00.png,No,1000,250,beige,beige,Saharah,Small rug,bathroom,None,slender rugs,fs
ivory small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS00.png,No,1000,250,beige,white,Saharah,Small rug,living room,child's room,shaggy round rugs,fs
lacy rug,https://acnhcdn.com/latest/FtrIcon/RugRoundLaceM00.png,No,1500,375,beige,white,Saharah,Medium rug,fancy,expensive,shaggy round rugs,fs
ladybug rug,https://acnhcdn.com/latest/FtrIcon/RugRoundLadybirdM00.png,No,-1,375,red,black,Bug-Off,,fancy,child's room,icon rugs,nfs
light bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM00.png,Yes,-1,2400,beige,brown,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),zen-style,None,wood rugs,nfs
magic-circle rug,https://acnhcdn.com/latest/FtrIcon/RugRoundMagicM00.png,No,1500,375,purple,purple,Saharah,Medium rug,horror,child's room,shaggy round rugs,fs
modern wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL00.png,No,2000,500,colorful,colorful,Saharah,Large rug,living room,child's room,slender pattern rugs,fs
mom's cool kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS00.png,No,-1,88,light blue,light blue,Mom,,fancy,kitchen,kitchen rugs,nfs
mom's lively kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS02.png,No,-1,88,yellow,yellow,Mom,,fancy,kitchen,kitchen rugs,nfs
mom's playful kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS01.png,No,-1,88,pink,pink,Mom,,fancy,kitchen,kitchen rugs,nfs
mom's reliable kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS03.png,No,-1,88,purple,purple,Mom,,fancy,kitchen,kitchen rugs,nfs
monochromatic dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL00.png,No,2000,500,black,white,Saharah,Large rug,fancy,child's room,slender pattern rugs,fs
monochromatic wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL01.png,No,2000,500,black,white,Saharah,Large rug,living room,child's room,slender pattern rugs,fs
mush rug,https://acnhcdn.com/latest/FtrIcon/RugOtherMushM00.png,No,1500,375,red,red,Saharah,Medium rug,fancy,child's room,icon rugs,fs
natural wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM01.png,No,1500,375,brown,brown,Saharah,Medium rug,outdoors,None,wood rugs,fs
nook inc. botanical rug,https://acnhcdn.com/latest/FtrIcon/RugOtherTanukiM00.png,No,-1,5000,none,none,Nook Miles Shop,Medium rug,fancy,living room,park rugs,nfs
nook inc. rug,https://acnhcdn.com/latest/FtrIcon/RugOtherLeafM00.png,No,-1,5000,green,green,Nook Miles Shop,Medium rug,fancy,child's room,park rugs,nfs
nook inc. silk rug,https://acnhcdn.com/latest/FtrIcon/RugRectTanukiL00.png,No,-1,3000,none,none,Nook Miles Shop,Large rug,facility,shop,park rugs,nfs
orange rug,https://acnhcdn.com/latest/FtrIcon/RugOtherOrangeM00.png,Yes,-1,1200,orange,orange,Crafting,Medium rug,fancy,child's room,fruit rugs,nfs
oval entrance mat,https://acnhcdn.com/latest/FtrIcon/RugOtherCountryS00.png,No,1000,250,blue,blue,Saharah,Small rug,living room,None,slender rugs,fs
peach checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL02.png,No,2000,500,pink,light blue,Saharah,Large rug,living room,child's room,pattern rugs,fs
peach rug,https://acnhcdn.com/latest/FtrIcon/RugOtherPeachM00.png,Yes,-1,1200,pink,pink,Crafting,Medium rug,fancy,child's room,fruit rugs,nfs
peach stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL01.png,No,2000,500,pink,white,Saharah,Large rug,fancy,child's room,slender pattern rugs,fs
pear rug,https://acnhcdn.com/latest/FtrIcon/RugOtherPearM00.png,Yes,-1,1200,green,green,Crafting,,fancy,child's room,fruit rugs,nfs
pink heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM00.png,No,1500,375,pink,pink,Saharah,Medium rug,fancy,child's room,heart rugs,fs
pink rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM00.png,No,1500,375,pink,pink,Saharah,Medium rug,fancy,expensive,rose rug,fs
purple heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM02.png,No,1500,375,purple,pink,Saharah,Medium rug,fancy,child's room,heart rugs,fs
purple persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL03.png,No,2000,500,purple,beige,Saharah,Large rug,expensive,living room,pattern rugs,fs
purple shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL03.png,No,2000,500,purple,purple,Saharah,Large rug,living room,None,pattern rugs,fs
red argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL01.png,No,2000,500,red,red,Saharah,Large rug,living room,expensive,slender pattern rugs,fs
red blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM00.png,No,1500,375,red,red,Saharah,Medium rug,living room,None,pattern rugs,fs
red carpet,https://acnhcdn.com/latest/FtrIcon/RugRectElegantM00.png,No,1500,375,red,red,Saharah,Medium rug,expensive,None,slender rugs,fs
red dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL02.png,No,2000,500,red,red,Saharah,Large rug,fancy,child's room,slender pattern rugs,fs
red kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL00.png,No,2000,500,red,red,Saharah,Large rug,living room,None,pattern rugs,fs
red medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM01.png,No,1500,375,red,red,Saharah,Medium rug,living room,child's room,shaggy round rugs,fs
red message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS03.png,No,1000,250,red,red,Saharah,Small rug,child's room,None,message mats,fs
red persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL00.png,No,2000,500,red,beige,Saharah,Large rug,expensive,living room,pattern rugs,fs
red rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM01.png,No,1500,375,red,red,Saharah,Medium rug,fancy,expensive,rose rug,fs
red small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS01.png,No,1000,250,red,red,Saharah,Small rug,living room,child's room,shaggy round rugs,fs
red vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM02.png,No,1500,375,red,colorful,Saharah,Medium rug,garden,None,slender pattern rugs,fs
red wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL03.png,No,2000,500,red,yellow,Saharah,Large rug,living room,child's room,slender pattern rugs,fs
red wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM02.png,No,1500,375,none,none,,Medium rug,party,expensive,slender pattern rugs,nfs
red-and-blue checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL00.png,No,2000,500,red,blue,Saharah,Large rug,living room,child's room,pattern rugs,fs
red-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS00.png,No,1000,250,red,black,Saharah,Small rug,kitchen,None,kitchen rugs,fs
retro dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL01.png,No,2000,500,green,green,Saharah,Large rug,fancy,child's room,slender pattern rugs,fs
rough rug,https://acnhcdn.com/latest/FtrIcon/RugRectDoormatS00.png,No,1000,250,brown,brown,Saharah,Small rug,school,facility,slender rugs,fs
rubber mud mat,https://acnhcdn.com/latest/FtrIcon/RugRectRubberScraperS00.png,No,1000,250,green,green,Saharah,Small rug,school,None,slender rugs,fs
shanty mat,https://acnhcdn.com/latest/FtrIcon/RugSquareOldStrawL00.png,No,2000,500,brown,beige,Saharah,Large rug,zen-style,None,simple rugs,fs
shell rug,https://acnhcdn.com/latest/FtrIcon/RugOtherShellM00.png,Yes,-1,5400,beige,pink,Crafting,,ocean,fancy,park rugs,nfs
simple green bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS03.png,No,1000,250,green,green,Saharah,Small rug,bathroom,None,slender rugs,fs
simple medium avocado mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM03.png,No,1500,375,green,green,Saharah,Medium rug,living room,facility,simple rugs,fs
simple medium black mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM07.png,No,1500,375,black,black,Saharah,Medium rug,living room,facility,simple rugs,fs
simple medium blue mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM02.png,No,1500,375,blue,blue,Saharah,Medium rug,living room,facility,simple rugs,fs
simple medium brown mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM01.png,No,1500,375,brown,brown,Saharah,Medium rug,living room,facility,simple rugs,fs
simple medium orange mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM05.png,No,1500,375,orange,orange,Saharah,Medium rug,living room,facility,simple rugs,fs
simple medium purple mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM06.png,No,1500,375,purple,purple,Saharah,Medium rug,living room,facility,simple rugs,fs
simple medium red mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM04.png,No,1500,375,red,red,Saharah,Medium rug,living room,facility,simple rugs,fs
simple navy bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS01.png,No,1000,250,gray,gray,Saharah,Small rug,bathroom,None,slender rugs,fs
simple pink bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS02.png,No,1000,250,pink,pink,Saharah,Small rug,bathroom,None,slender rugs,fs
simple small avocado mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS03.png,No,1000,250,green,green,Saharah,Small rug,living room,facility,simple rugs,fs
simple small black mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS07.png,No,1000,250,black,black,Saharah,Small rug,living room,facility,simple rugs,fs
simple small blue mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS02.png,No,1000,250,blue,blue,Saharah,Small rug,living room,facility,simple rugs,fs
simple small brown mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS01.png,No,1000,250,brown,brown,Saharah,Small rug,living room,facility,simple rugs,fs
simple small orange mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS05.png,No,1000,250,orange,orange,Saharah,Small rug,living room,facility,simple rugs,fs
simple small purple mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS06.png,No,1000,250,purple,purple,Saharah,Small rug,living room,facility,simple rugs,fs
simple small red mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS04.png,No,1000,250,red,red,Saharah,Small rug,living room,facility,simple rugs,fs
sloppy rug,https://acnhcdn.com/latest/FtrIcon/RugOtherSloppyL00.png,No,2000,500,light blue,light blue,Saharah,Large rug,living room,child's room,simple rugs,fs
snowflake rug,https://acnhcdn.com/latest/FtrIcon/RugRoundSnowM00.png,No,1500,375,light blue,white,Saharah,Medium rug,freezing cold,fancy,shaggy round rugs,fs
tatami mat,https://acnhcdn.com/latest/FtrIcon/RugRectTatamiM00.png,No,1500,375,green,yellow,Saharah,Medium rug,zen-style,None,wood rugs,fs
tropical rug,https://acnhcdn.com/latest/FtrIcon/RugRoundIslandM00.png,No,1500,375,green,beige,Saharah,Medium rug,ocean,None,park rugs,fs
turquoise heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM01.png,No,1500,375,light blue,light blue,Saharah,Medium rug,fancy,child's room,heart rugs,fs
white heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM03.png,No,1500,375,white,white,Saharah,Medium rug,fancy,child's room,heart rugs,fs
white message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS00.png,No,1000,250,white,white,Saharah,Small rug,child's room,None,message mats,fs
white rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM03.png,No,1500,375,white,white,Saharah,Medium rug,fancy,expensive,rose rug,fs
white simple medium mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM00.png,No,1500,375,beige,white,Saharah,Medium rug,living room,facility,simple rugs,fs
white simple small mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS00.png,No,1000,250,beige,white,Saharah,Small rug,living room,facility,simple rugs,fs
white wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM03.png,No,1500,375,none,none,,Medium rug,party,expensive,slender pattern rugs,nfs
white wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM02.png,No,1500,375,white,white,Saharah,Medium rug,outdoors,None,wood rugs,fs
yellow argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL00.png,No,2000,500,yellow,yellow,Saharah,Large rug,living room,fancy,slender pattern rugs,fs
yellow blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM02.png,No,1500,375,yellow,brown,Saharah,Medium rug,living room,None,pattern rugs,fs
yellow checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL01.png,No,2000,500,yellow,green,Saharah,Large rug,living room,child's room,pattern rugs,fs
yellow kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL03.png,No,2000,500,yellow,beige,Saharah,Large rug,living room,None,pattern rugs,fs
yellow kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS01.png,No,1000,250,yellow,yellow,Saharah,Small rug,kitchen,None,kitchen rugs,fs
yellow medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM03.png,No,1500,375,yellow,yellow,Saharah,Medium rug,living room,child's room,shaggy round rugs,fs
yellow message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS02.png,No,1000,250,yellow,yellow,Saharah,Small rug,child's room,None,message mats,fs
yellow persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL02.png,No,2000,500,yellow,beige,Saharah,Large rug,expensive,living room,pattern rugs,fs
yellow rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM02.png,No,1500,375,yellow,yellow,Saharah,Medium rug,fancy,expensive,rose rug,fs
yellow small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS03.png,No,1000,250,yellow,yellow,Saharah,Small rug,living room,child's room,shaggy round rugs,fs
yellow stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL00.png,No,2000,500,yellow,white,Saharah,Large rug,fancy,child's room,slender pattern rugs,fs
yellow vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM03.png,No,1500,375,yellow,colorful,Saharah,Medium rug,garden,None,slender pattern rugs,fs
yellow-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS02.png,No,1000,250,yellow,black,Saharah,Small rug,kitchen,None,kitchen rugs,fs
